HOUR_OF_DAY_UTC,DAY_TYPE,AVG_CONCURRENT_USERS_5M
0,Weekday,25.76
0,Weekend,27.28
1,Weekday,27.51
1,Weekend,29.31
2,Weekday,26.16
2,Weekend,28.76
3,Weekday,21.93
3,Weekend,25.78
4,Weekday,16.26
4,Weekend,18.66
5,Weekday,10.91
5,Weekend,12.53
6,Weekday,7.14
6,Weekend,8.14
7,Weekday,4.67
7,Weekend,6
8,Weekday,3.61
8,Weekend,4.29
9,Weekday,2.95
9,Weekend,3.13
10,Weekday,2.79
10,Weekend,2.98
11,Weekday,3.11
11,Weekend,3.2
12,Weekday,3.69
12,Weekend,4.26
13,Weekday,4.1
13,Weekend,4.72
14,Weekday,4.4
14,Weekend,5.23
15,Weekday,5.07
15,Weekend,5.83
16,Weekday,5.48
16,Weekend,5.82
17,Weekday,6.26
17,Weekend,7.11
18,Weekday,7.04
18,Weekend,8.21
19,Weekday,8.31
19,Weekend,9.96
20,Weekday,10.17
20,Weekend,11.63
21,Weekday,12.99
21,Weekend,13.43
22,Weekday,16.49
22,Weekend,16.52
23,Weekday,22.72
23,Weekend,23.17
