HOUR_OF_DAY_UTC,DAY_TYPE,AVG_HOURLY_PEAK_CONCURRENT
0,Weekday,34.69
0,Weekend,35.18
1,Weekday,38.03
1,Weekend,36
2,Weekday,35.52
2,Weekend,36.18
3,Weekday,30.07
3,Weekend,34.18
4,Weekday,24.07
4,Weekend,27.45
5,Weekday,16.97
5,Weekend,19.45
6,Weekday,11.62
6,Weekend,13.36
7,Weekday,7.9
7,Weekend,9.91
8,Weekday,6.31
8,Weekend,6.45
9,Weekday,4.97
9,Weekend,4.09
10,Weekday,4.9
10,Weekend,5.09
11,Weekday,5.52
11,Weekend,5.55
12,Weekday,5.9
12,Weekend,7.27
13,Weekday,6.41
13,Weekend,6.82
14,Weekday,7.03
14,Weekend,8
15,Weekday,7.69
15,Weekend,9.73
16,Weekday,9.14
16,Weekend,8.27
17,Weekday,9.83
17,Weekend,11
18,Weekday,10.17
18,Weekend,12.82
19,Weekday,11.86
19,Weekend,15.45
20,Weekday,14.9
20,Weekend,15.55
21,Weekday,18.62
21,Weekend,18.27
22,Weekday,23.29
22,Weekend,23.45
23,Weekday,31.61
23,Weekend,31.55
